x,y,z
0.0,0.0,0.0
0.0,0.0,0.027777777777777776
0.0,0.0,0.05555555555555555
0.0,0.0,0.08333333333333333
0.0,0.0,0.1111111111111111
0.0,0.0,0.1388888888888889
0.0,0.0,0.16666666666666666
0.0,0.0,0.19444444444444442
0.0,0.0,0.2222222222222222
0.0,0.0,0.25
0.0,0.0,0.2777777777777778
0.0,0.0,0.3055555555555555
0.0,0.0,0.3333333333333333
0.0,0.0,0.3611111111111111
0.0,0.0,0.38888888888888884
0.0,0.0,0.41666666666666663
0.0,0.0,0.4444444444444444
0.0,0.0,0.4722222222222222
0.0,0.0,0.5
0.0,0.0,0.5277777777777778
0.0,0.0,0.5555555555555556
0.0,0.0,0.5833333333333333
0.0,0.0,0.611111111111111
0.0,0.0,0.6388888888888888
0.0,0.0,0.6666666666666666
0.0,0.0,0.6944444444444444
0.0,0.0,0.7222222222222222
0.0,0.0,0.75
0.0,0.0,0.7777777777777777
0.0,0.0,0.8055555555555555
0.0,0.0,0.8333333333333333
0.0,0.0,0.861111111111111
0.0,0.0,0.8888888888888888
0.0,0.0,0.9166666666666666
0.0,0.0,0.9444444444444444
0.0,0.0,0.9722222222222222
0.0,0.0,1.0
0.0,0.03333333333333333,0.0
0.0,0.03333333333333333,0.027777777777777776
0.0,0.03333333333333333,0.05555555555555555
0.0,0.03333333333333333,0.08333333333333333
0.0,0.03333333333333333,0.1111111111111111
0.0,0.03333333333333333,0.1388888888888889
0.0,0.03333333333333333,0.16666666666666666
0.0,0.03333333333333333,0.19444444444444442
0.0,0.03333333333333333,0.2222222222222222
0.0,0.03333333333333333,0.25
0.0,0.03333333333333333,0.2777777777777778
0.0,0.03333333333333333,0.3055555555555555
0.0,0.03333333333333333,0.3333333333333333
0.0,0.03333333333333333,0.3611111111111111
0.0,0.03333333333333333,0.38888888888888884
0.0,0.03333333333333333,0.41666666666666663
0.0,0.03333333333333333,0.4444444444444444
0.0,0.03333333333333333,0.4722222222222222
0.0,0.03333333333333333,0.5
0.0,0.03333333333333333,0.5277777777777778
0.0,0.03333333333333333,0.5555555555555556
0.0,0.03333333333333333,0.5833333333333333
0.0,0.03333333333333333,0.611111111111111
0.0,0.03333333333333333,0.6388888888888888
0.0,0.03333333333333333,0.6666666666666666
0.0,0.03333333333333333,0.6944444444444444
0.0,0.03333333333333333,0.7222222222222222
0.0,0.03333333333333333,0.75
0.0,0.03333333333333333,0.7777777777777777
0.0,0.03333333333333333,0.8055555555555555
0.0,0.03333333333333333,0.8333333333333333
0.0,0.03333333333333333,0.861111111111111
0.0,0.03333333333333333,0.8888888888888888
0.0,0.03333333333333333,0.9166666666666666
0.0,0.03333333333333333,0.9444444444444444
0.0,0.03333333333333333,0.9722222222222222
0.0,0.03333333333333333,1.0
0.0,0.06666666666666667,0.0
0.0,0.06666666666666667,0.027777777777777776
0.0,0.06666666666666667,0.05555555555555555
0.0,0.06666666666666667,0.08333333333333333
0.0,0.06666666666666667,0.1111111111111111
0.0,0.06666666666666667,0.1388888888888889
0.0,0.06666666666666667,0.16666666666666666
0.0,0.06666666666666667,0.19444444444444442
0.0,0.06666666666666667,0.2222222222222222
0.0,0.06666666666666667,0.25
0.0,0.06666666666666667,0.2777777777777778
0.0,0.06666666666666667,0.3055555555555555
0.0,0.06666666666666667,0.3333333333333333
0.0,0.06666666666666667,0.3611111111111111
0.0,0.06666666666666667,0.38888888888888884
0.0,0.06666666666666667,0.41666666666666663
0.0,0.06666666666666667,0.4444444444444444
0.0,0.06666666666666667,0.4722222222222222
0.0,0.06666666666666667,0.5
0.0,0.06666666666666667,0.5277777777777778
0.0,0.06666666666666667,0.5555555555555556
0.0,0.06666666666666667,0.5833333333333333
0.0,0.06666666666666667,0.611111111111111
0.0,0.06666666666666667,0.6388888888888888
0.0,0.06666666666666667,0.6666666666666666
0.0,0.06666666666666667,0.6944444444444444
0.0,0.06666666666666667,0.7222222222222222
0.0,0.06666666666666667,0.75
0.0,0.06666666666666667,0.7777777777777777
0.0,0.06666666666666667,0.8055555555555555
0.0,0.06666666666666667,0.8333333333333333
0.0,0.06666666666666667,0.861111111111111
0.0,0.06666666666666667,0.8888888888888888
0.0,0.06666666666666667,0.9166666666666666
0.0,0.06666666666666667,0.9444444444444444
0.0,0.06666666666666667,0.9722222222222222
0.0,0.06666666666666667,1.0
0.0,0.1,0.0
0.0,0.1,0.027777777777777776
0.0,0.1,0.05555555555555555
0.0,0.1,0.08333333333333333
0.0,0.1,0.1111111111111111
0.0,0.1,0.1388888888888889
0.0,0.1,0.16666666666666666
0.0,0.1,0.19444444444444442
0.0,0.1,0.2222222222222222
0.0,0.1,0.25
0.0,0.1,0.2777777777777778
0.0,0.1,0.3055555555555555
0.0,0.1,0.3333333333333333
0.0,0.1,0.3611111111111111
0.0,0.1,0.38888888888888884
0.0,0.1,0.41666666666666663
0.0,0.1,0.4444444444444444
0.0,0.1,0.4722222222222222
0.0,0.1,0.5
0.0,0.1,0.5277777777777778
0.0,0.1,0.5555555555555556
0.0,0.1,0.5833333333333333
0.0,0.1,0.611111111111111
0.0,0.1,0.6388888888888888
0.0,0.1,0.6666666666666666
0.0,0.1,0.6944444444444444
0.0,0.1,0.7222222222222222
0.0,0.1,0.75
0.0,0.1,0.7777777777777777
0.0,0.1,0.8055555555555555
0.0,0.1,0.8333333333333333
0.0,0.1,0.861111111111111
0.0,0.1,0.8888888888888888
0.0,0.1,0.9166666666666666
0.0,0.1,0.9444444444444444
0.0,0.1,0.9722222222222222
0.0,0.1,1.0
0.0,0.13333333333333333,0.0
0.0,0.13333333333333333,0.027777777777777776
0.0,0.13333333333333333,0.05555555555555555
0.0,0.13333333333333333,0.08333333333333333
0.0,0.13333333333333333,0.1111111111111111
0.0,0.13333333333333333,0.1388888888888889
0.0,0.13333333333333333,0.16666666666666666
0.0,0.13333333333333333,0.19444444444444442
0.0,0.13333333333333333,0.2222222222222222
0.0,0.13333333333333333,0.25
0.0,0.13333333333333333,0.2777777777777778
0.0,0.13333333333333333,0.3055555555555555
0.0,0.13333333333333333,0.3333333333333333
0.0,0.13333333333333333,0.3611111111111111
0.0,0.13333333333333333,0.38888888888888884
0.0,0.13333333333333333,0.41666666666666663
0.0,0.13333333333333333,0.4444444444444444
0.0,0.13333333333333333,0.4722222222222222
0.0,0.13333333333333333,0.5
0.0,0.13333333333333333,0.5277777777777778
0.0,0.13333333333333333,0.5555555555555556
0.0,0.13333333333333333,0.5833333333333333
0.0,0.13333333333333333,0.611111111111111
0.0,0.13333333333333333,0.6388888888888888
0.0,0.13333333333333333,0.6666666666666666
0.0,0.13333333333333333,0.6944444444444444
0.0,0.13333333333333333,0.7222222222222222
0.0,0.13333333333333333,0.75
0.0,0.13333333333333333,0.7777777777777777
0.0,0.13333333333333333,0.8055555555555555
0.0,0.13333333333333333,0.8333333333333333
0.0,0.13333333333333333,0.861111111111111
0.0,0.13333333333333333,0.8888888888888888
0.0,0.13333333333333333,0.9166666666666666
0.0,0.13333333333333333,0.9444444444444444
0.0,0.13333333333333333,0.9722222222222222
0.0,0.13333333333333333,1.0
0.0,0.16666666666666666,0.0
0.0,0.16666666666666666,0.027777777777777776
0.0,0.16666666666666666,0.05555555555555555
0.0,0.16666666666666666,0.08333333333333333
0.0,0.16666666666666666,0.1111111111111111
0.0,0.16666666666666666,0.1388888888888889
0.0,0.16666666666666666,0.16666666666666666
0.0,0.16666666666666666,0.19444444444444442
0.0,0.16666666666666666,0.2222222222222222
0.0,0.16666666666666666,0.25
0.0,0.16666666666666666,0.2777777777777778
0.0,0.16666666666666666,0.3055555555555555
0.0,0.16666666666666666,0.3333333333333333
0.0,0.16666666666666666,0.3611111111111111
0.0,0.16666666666666666,0.38888888888888884
0.0,0.16666666666666666,0.41666666666666663
0.0,0.16666666666666666,0.4444444444444444
0.0,0.16666666666666666,0.4722222222222222
0.0,0.16666666666666666,0.5
0.0,0.16666666666666666,0.5277777777777778
0.0,0.16666666666666666,0.5555555555555556
0.0,0.16666666666666666,0.5833333333333333
0.0,0.16666666666666666,0.611111111111111
0.0,0.16666666666666666,0.6388888888888888
0.0,0.16666666666666666,0.6666666666666666
0.0,0.16666666666666666,0.6944444444444444
0.0,0.16666666666666666,0.7222222222222222
0.0,0.16666666666666666,0.75
0.0,0.16666666666666666,0.7777777777777777
0.0,0.16666666666666666,0.8055555555555555
0.0,0.16666666666666666,0.8333333333333333
0.0,0.16666666666666666,0.861111111111111
0.0,0.16666666666666666,0.8888888888888888
0.0,0.16666666666666666,0.9166666666666666
